dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,n_universality_classes,target_label_set,method,requested_n_clusters,status,n_clusters_found,n_noise,ari_universality_all,ari_system_all,nmi_universality_all,nmi_system_all,system_minus_universality_ari_all,ari_universality_core,ari_system_core,system_minus_universality_ari_core
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,kmeans,4,ok,4,0,0.81984,0.532201,0.831384,0.726171,-0.287639,0.81984,0.532201,-0.287639
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,gmm_full,4,ok,4,0,0.890303,0.541117,0.884011,0.750115,-0.349186,0.890303,0.541117,-0.349186
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,gmm_diag,4,ok,4,0,0.914769,0.545845,0.913696,0.768286,-0.368923,0.914769,0.545845,-0.368923
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,agglomerative_ward,4,ok,4,0,0.813889,0.549583,0.856329,0.75452,-0.264306,0.813889,0.549583,-0.264306
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,agglomerative_average,4,ok,4,0,0.782724,0.548848,0.841829,0.742922,-0.233875,0.782724,0.548848,-0.233875
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,agglomerative_complete,4,ok,4,0,0.553348,0.523149,0.694964,0.674565,-0.0301994,0.553348,0.523149,-0.0301994
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,spectral_nearest,4,ok,4,0,0.891201,0.532042,0.883956,0.74679,-0.359159,0.891201,0.532042,-0.359159
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,universality,spectral_rbf,4,ok,4,0,0.856778,0.507059,0.848197,0.719985,-0.349719,0.856778,0.507059,-0.349719
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,microscopic_system,kmeans,6,ok,6,0,0.56005,0.58383,0.755564,0.707985,0.0237796,0.56005,0.58383,0.0237796
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,microscopic_system,gmm_full,6,ok,6,0,0.599264,0.709264,0.80808,0.78245,0.11,0.599264,0.709264,0.11
