dataset_family,representation,protocol,subset,target_label_set,method,n_runs,ari_universality_mean,ari_universality_min,ari_universality_max,ari_system_mean,ari_system_min,ari_system_max,system_minus_universality_ari_mean
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,agglomerative_average,5,0.544642,0.366348,0.642746,0.55871,0.408139,0.654071,0.0140688
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,agglomerative_complete,5,0.473357,0.411266,0.62801,0.530268,0.444675,0.587787,0.0569112
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,agglomerative_ward,5,0.474591,0.390048,0.62801,0.584041,0.505648,0.638659,0.109449
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,gmm_diag,5,0.49295,0.415155,0.579648,0.608089,0.48043,0.74778,0.115139
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,gmm_full,5,0.566157,0.518769,0.625315,0.713825,0.6367,0.759278,0.147668
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,kmeans,5,0.455001,0.381172,0.56005,0.56032,0.464837,0.646889,0.105319
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,spectral_nearest,5,0.460693,0.397181,0.557946,0.513812,0.396699,0.609406,0.0531188
effective_exponent,matched effective exponent geometry,equal,all_six,microscopic_system,spectral_rbf,5,0.531936,0.41776,0.654138,0.521552,0.414069,0.567856,-0.0103842
effective_exponent,matched effective exponent geometry,equal,all_six,universality,agglomerative_average,5,0.618188,0.466276,0.782724,0.530047,0.330149,0.637371,-0.0881404
effective_exponent,matched effective exponent geometry,equal,all_six,universality,agglomerative_complete,5,0.494404,0.385114,0.604959,0.494122,0.380554,0.620756,-0.000282146
effective_exponent,matched effective exponent geometry,equal,all_six,universality,agglomerative_ward,5,0.643632,0.451067,0.813889,0.508814,0.405878,0.564956,-0.134818
effective_exponent,matched effective exponent geometry,equal,all_six,universality,gmm_diag,5,0.665461,0.566783,0.914769,0.55455,0.463183,0.648789,-0.110912
effective_exponent,matched effective exponent geometry,equal,all_six,universality,gmm_full,5,0.673191,0.535213,0.890303,0.556191,0.516154,0.619964,-0.117
effective_exponent,matched effective exponent geometry,equal,all_six,universality,kmeans,5,0.604459,0.469378,0.81984,0.534843,0.44063,0.611192,-0.0696163
effective_exponent,matched effective exponent geometry,equal,all_six,universality,spectral_nearest,5,0.658349,0.471446,0.891201,0.538134,0.476987,0.603406,-0.120214
effective_exponent,matched effective exponent geometry,equal,all_six,universality,spectral_rbf,5,0.662168,0.552795,0.856778,0.52295,0.420496,0.611221,-0.139218
effective_exponent,matched effective exponent geometry,equal,all_six,variable_density,hdbscan,5,0.663675,0.40768,0.893401,0.496554,0.328349,0.656193,-0.167121
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,agglomerative_average,5,0.53339,-0.00206638,1,0.53339,-0.00206638,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,agglomerative_complete,5,0.508421,0.0161486,1,0.508421,0.0161486,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,agglomerative_ward,5,0.7344,0.352314,1,0.7344,0.352314,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,gmm_diag,5,0.640595,0.0783629,1,0.640595,0.0783629,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,gmm_full,5,0.905555,0.676533,1,0.905555,0.676533,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,kmeans,5,0.661983,0.29358,1,0.661983,0.29358,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,spectral_nearest,5,0.778924,0.268033,1,0.778924,0.268033,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,microscopic_system,spectral_rbf,5,0.845437,0.519639,1,0.845437,0.519639,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,agglomerative_average,5,0.53339,-0.00206638,1,0.53339,-0.00206638,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,agglomerative_complete,5,0.508421,0.0161486,1,0.508421,0.0161486,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,agglomerative_ward,5,0.7344,0.352314,1,0.7344,0.352314,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,gmm_diag,5,0.640595,0.0783629,1,0.640595,0.0783629,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,gmm_full,5,0.905555,0.676533,1,0.905555,0.676533,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,kmeans,5,0.661983,0.29358,1,0.661983,0.29358,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,spectral_nearest,5,0.778924,0.268033,1,0.778924,0.268033,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,universality,spectral_rbf,5,0.845437,0.519639,1,0.845437,0.519639,1,0
effective_exponent,matched effective exponent geometry,equal,ew_kpz_only,variable_density,hdbscan,5,0.70177,0.153908,1,0.70177,0.153908,1,0
effective_exponent,matched effective exponent geometry,equal,no_ks,microscopic_system,agglomerative_average,5,0.547439,0.327167,0.793001,0.45324,0.295974,0.586701,-0.0941994
effective_exponent,matched effective exponent geometry,equal,no_ks,microscopic_system,agglomerative_complete,5,0.405222,0.276098,0.709386,0.413334,0.294131,0.489325,0.00811252
effective_exponent,matched effective exponent geometry,equal,no_ks,microscopic_system,agglomerative_ward,5,0.380138,0.29423,0.570141,0.494087,0.363248,0.602842,0.113949
