source,protocol,seed_start,representation,representation_key,representation_family,subset,systems,n_samples,n_features,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,single-L features,single_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,10,4,0.243671,0.557886,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,10,3,0.34647,0.598106,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,10,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,10,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,80,10,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,cross-L engineered features,cross_L_engineered_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.495781,0.743848,0.454631,0.443594,5,28
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,cross-L engineered features,cross_L_engineered_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.34647,0.598106,0.39887,0.30746,4,36
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,cross-L engineered features,cross_L_engineered_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.34647,0.598106,0.382729,0.312879,4,29
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.266151,-0.00108962,3,34
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,cross-L engineered features,cross_L_engineered_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,0.797551,1,2,11
results_exp70_matched_codex_matrix_full_equal_seed69000\matched_matrices.npz,equal,69000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,7,4,0.495781,0.743848,0.525225,0.524836,6,17
