dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,max_within_kpz_centroid_distance,min_kpz_to_non_kpz_centroid_distance,kpz_quotient_separation_ratio,hierarchy_linkage,kpz_trio_unified_step,first_kpz_non_kpz_mix_step,first_non_kpz_system_mixed_with_kpz,kpz_trio_cleanly_unified_before_non_kpz
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,0.981385,1.35668,0.723373,average,2,3,rd,True
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.03057,1.79347,0.574625,average,2,3,ew,True
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1.04367,1.69503,0.615723,average,2,3,ew,True
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1.32188,2.22609,0.593811,average,2,3,ew,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,0.894112,0.61061,1.46429,average,2,3,ew,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.0588,0.913757,1.15874,average,2,3,ew,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,0.963279,0.655679,1.46913,average,2,3,ew,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1.66204,1.50965,1.10094,average,2,3,ew,True
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1.51766,0.380081,3.993,average,3,2,ew,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.6743,0.524224,3.19386,average,3,1,ew,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1.61774,0.402163,4.02261,average,3,2,ew,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2.3178,0.755207,3.06909,average,3,1,ew,False
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1.1952,0.615606,1.9415,average,3,2,rd,False
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.33078,1.1559,1.15129,average,3,2,rd,False
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1.19795,2.13113,0.562119,average,2,3,ew,True
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1.46363,2.40739,0.607975,average,2,3,ew,True
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1.7435,0.74728,2.33313,average,4,2,rd,False
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.96795,1.00101,1.96596,average,3,2,ew,False
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1.77683,0.768408,2.31235,average,3,2,ew,False
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2.42163,1.2633,1.91691,average,3,2,ew,False
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,0.552548,1.55695,0.354891,average,2,3,rd,True
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.5212,2.25835,0.67359,average,2,3,ew,True
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,0.596399,2.16206,0.275848,average,2,3,ew,True
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2.03081,2.79917,0.725504,average,2,3,ew,True
exponent_exp69_70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,effective_exponent,matched effective exponent geometry,exp69,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,0.638828,0.410364,1.55674,average,3,2,ew,False
exponent_exp69_70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,effective_exponent,matched effective exponent geometry,exp69,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.00607,0.685461,1.46773,average,3,2,ew,False
exponent_exp69_70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,effective_exponent,matched effective exponent geometry,exp69,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,0.67739,0.435208,1.55647,average,3,2,ew,False
exponent_exp69_70000,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,effective_exponent,matched effective exponent geometry,exp69,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1.54007,1.01868,1.51183,average,3,2,ew,False
exponent_exp69_71000,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,effective_exponent,matched effective exponent geometry,exp69,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1.62611,0.786088,2.06861,average,4,1,ew,False
exponent_exp69_71000,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,effective_exponent,matched effective exponent geometry,exp69,71000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.73929,0.901948,1.92837,average,3,1,ew,False
exponent_exp69_71000,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,effective_exponent,matched effective exponent geometry,exp69,71000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1.7144,0.817604,2.09685,average,3,1,ew,False
exponent_exp69_71000,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,effective_exponent,matched effective exponent geometry,exp69,71000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2.34311,1.1385,2.05806,average,3,1,ew,False
exponent_exp69_72000,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,effective_exponent,matched effective exponent geometry,exp69,72000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1.10137,0.914237,1.20468,average,2,3,rd,True
exponent_exp69_72000,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,effective_exponent,matched effective exponent geometry,exp69,72000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.17995,1.51474,0.778978,average,2,3,rd,True
exponent_exp69_72000,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,effective_exponent,matched effective exponent geometry,exp69,72000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1.11143,1.71177,0.649286,average,2,3,ew,True
exponent_exp69_72000,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,effective_exponent,matched effective exponent geometry,exp69,72000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1.33659,2.06359,0.647702,average,2,3,ew,True
exponent_exp69_73000,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,effective_exponent,matched effective exponent geometry,exp69,73000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1.74595,0.7669,2.27663,average,4,2,rd,False
exponent_exp69_73000,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,effective_exponent,matched effective exponent geometry,exp69,73000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1.89515,0.8973,2.11206,average,4,2,ew,False
exponent_exp69_73000,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,effective_exponent,matched effective exponent geometry,exp69,73000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1.79641,0.78639,2.28437,average,3,2,ew,False
exponent_exp69_73000,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,effective_exponent,matched effective exponent geometry,exp69,73000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2.29163,1.03872,2.2062,average,3,2,ew,False
exp62_spatial,results_exp62/features.npz,feature,6D spatial morphology,stored exp62 feature matrix,,all_six,EW/KPZ/BD/Eden/RD/KS,480,6,2.39649,0.0970639,24.6898,average,4,1,ew,False
exp62_spatial,results_exp62/features.npz,feature,6D spatial morphology,stored exp62 feature matrix,,no_ks,EW/KPZ/BD/Eden/RD,400,5,2.60215,0.0889446,29.2559,average,3,1,ew,False
