dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,merge_step,distance,left_cluster,right_cluster,merged_cluster,kpz_systems_inside,non_kpz_systems_inside
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1,0.490541,bd,eden,bd/eden,bd/eden,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,2,0.752926,kpz,bd/eden,bd/eden/kpz,bd/eden/kpz,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,3,1.83837,rd,bd/eden/kpz,bd/eden/kpz/rd,bd/eden/kpz,rd
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,2.56032,ew,bd/eden/kpz/rd,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,5,3.40732,ks,bd/eden/ew/kpz/rd,bd/eden/ew/kpz/ks/rd,bd/eden/kpz,ew/ks/rd
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1,0.69529,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,2,0.893332,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,2.32183,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,4,3.14217,rd,bd/eden/ew/kpz,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1,0.527071,bd,eden,bd/eden,bd/eden,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,2,0.797274,kpz,bd/eden,bd/eden/kpz,bd/eden/kpz,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,2.21181,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,4,3.54702,ks,bd/eden/ew/kpz,bd/eden/ew/kpz/ks,bd/eden/kpz,ew/ks
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1,0.904015,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,1.17441,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,3,2.90034,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1,0.425265,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,2,0.681824,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,3,0.98317,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,2.54468,rd,bd/eden/ew/kpz,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,5,3.5848,ks,bd/eden/ew/kpz/rd,bd/eden/ew/kpz/ks/rd,bd/eden/kpz,ew/ks/rd
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1,0.478863,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,2,0.832735,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,1.22966,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
