dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,system_a,system_b,standardized_centroid_distance,same_universality_class
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,eden,0.490541,True
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,ew,2.14432,False
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,kpz,0.524467,True
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,ks,3.19725,False
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,rd,1.82378,False
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,eden,ew,2.56469,False
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,eden,kpz,0.981385,True
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,eden,ks,2.99428,False
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,eden,rd,1.35668,False
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,ew,kpz,1.62247,False
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,ew,ks,4.71935,False
