source,source_family,protocol,seed_start,representation,representation_family,evaluation_mode,subset,systems,n_samples,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise,knn3_accuracy,knn3_accuracy_std,notes
results_exp62\features.npz,exp62,"stored feature matrix, L=128, T=1000, N=80/system",,6D spatial morphology,feature,refit_subset,all_six,EW/KPZ/BD/Eden/RD/KS,480,4,0.18491941765409903,0.49382350433464833,0.4943238763790265,0.49476343280378143,4,2,0.8375,0.028144283512721434,Full subset refit from stored exp62 feature vectors.
results_exp62\features.npz,exp62,"stored feature matrix, L=128, T=1000, N=80/system",,6D spatial morphology,feature,refit_subset,no_ks,EW/KPZ/BD/Eden/RD,400,3,0.3485714285714286,0.5981055023708859,0.34639980316569224,0.3456885933079372,3,1,0.8125,0.036443449342783145,Full subset refit from stored exp62 feature vectors.
results_exp62\features.npz,exp62,"stored feature matrix, L=128, T=1000, N=80/system",,6D spatial morphology,feature,refit_subset,no_rd,EW/KPZ/BD/Eden/KS,400,3,-0.11641778417022716,0.14970941211667982,0.3485714285714286,0.3485714285714286,3,0,0.8099999999999999,0.04710360920354196,Full subset refit from stored exp62 feature vectors.
results_exp62\features.npz,exp62,"stored feature matrix, L=128, T=1000, N=80/system",,6D spatial morphology,feature,refit_subset,no_rd_no_ks,EW/KPZ/BD/Eden,320,2,-0.06867671691792294,0.15106563978903187,-0.06867671691792294,-0.06867671691792294,2,0,0.775,0.059086470003715745,Full subset refit from stored exp62 feature vectors.
results_exp62\features.npz,exp62,"stored feature matrix, L=128, T=1000, N=80/system",,6D spatial morphology,feature,refit_subset,ew_kpz_only,EW/KPZ only,160,2,-0.001916734452414405,0.0023719689967188567,-0.0016284955092852901,-0.005848730559617174,2,113,0.725,0.07460835241445826,Full subset refit from stored exp62 feature vectors.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,single-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.24367088607594936,0.5578858913022595,0.5662431941923775,0.5662431941923775,6,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,single-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.3184931506849315,0.5897275217561562,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,single-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.019704433497536946,0.30633714717416893,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,single-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.05357142857142857,0.26935583490799025,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,single-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,raw multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.6049586776859505,0.7864379259835008,0.5662431941923775,0.5662431941923775,6,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,raw multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,raw multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,raw multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.24644549763033174,0.3437110184854493,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,raw multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,cross-L engineered features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.4957805907172996,0.7438478550696794,0.45463129437270916,0.4435935870804513,5,28,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,cross-L engineered features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.3464696223316913,0.598105502370886,0.34101612661368375,0.2925849929710065,4,28,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,cross-L engineered features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.3464696223316913,0.598105502370886,0.3615124058152685,0.30975349455584417,4,25,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,cross-L engineered features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,-0.0707070707070707,0.1510656397890323,0.17033135053062354,0.0016204320734841892,3,25,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,cross-L engineered features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,0.0,0.0,0.7561728395061729,1.0,2,24,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,PCA-whitened multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.24367088607594936,0.5578858913022595,0.5252247401486877,0.5248359122924608,6,17,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,PCA-whitened multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.3184931506849315,0.5897275217561562,0.43210840972499004,0.41713489700488143,5,17,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.019704433497536946,0.30633714717416893,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.05357142857142857,0.26935583490799025,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,PCA-whitened multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,refit_subset,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.8198403390674631,0.8313837888312637,0.8934010800622076,0.9257423059570473,4,5,0.9916666666666666,0.01141088661469098,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,refit_subset,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.7840166018158236,0.7500917392804827,0.8403408631197067,0.9827429304618978,3,13,0.99,0.013693063937629165,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,refit_subset,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.8603112046590308,0.8417786975815603,0.5382830626450116,0.5382830626450116,2,0,0.99,0.013693063937629165,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,refit_subset,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.8002058455166599,0.6950476521066694,0.7339578300481063,0.9436443599992467,2,13,0.9875,0.01711632992203644,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,refit_subset,ew_kpz_only,EW/KPZ only,80,2,0.9012531649626615,0.8557693561998521,0.9753047827446076,1.0,2,1,1.0,0.0,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.8198403390674631,0.8313837888312637,0.8934010800622076,0.9257423059570473,4,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.7694835083529121,0.7385110490023508,0.8632295321826727,0.9035644893248291,3,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.7976789692413919,0.7990126857210195,0.8632295321826727,0.9035644893248291,3,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.688834789307542,0.6094906631356221,0.7843751628736897,0.8419394698070759,2,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,0.6354897625684899,0.5695090250817507,0.6559956374950882,0.7087994034302759,2,3,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,single-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.6049586776859505,0.7864379259835008,0.5662431941923775,0.5662431941923775,6,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,single-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
