source_family,protocol,representation,representation_family,evaluation_mode,subset,systems,n_rows,n_samples_mean,n_true_classes_mean,kmeans_ari_mean,kmeans_ari_std,kmeans_ari_min,kmeans_ari_max,hdbscan_core_ari_mean,hdbscan_core_ari_std,hdbscan_core_ari_min,hdbscan_core_ari_max,knn3_accuracy_mean,knn3_accuracy_std,notes
exp62,"stored feature matrix, L=128, T=1000, N=80/system",6D spatial morphology,feature,refit_subset,all_six,EW/KPZ/BD/Eden/RD/KS,1,480,4,0.184919,0,0.184919,0.184919,0.494763,0,0.494763,0.494763,0.8375,0,Full subset refit from stored exp62 feature vectors.
exp62,"stored feature matrix, L=128, T=1000, N=80/system",6D spatial morphology,feature,refit_subset,ew_kpz_only,EW/KPZ only,1,160,2,-0.00191673,0,-0.00191673,-0.00191673,-0.00584873,0,-0.00584873,-0.00584873,0.725,0,Full subset refit from stored exp62 feature vectors.
exp62,"stored feature matrix, L=128, T=1000, N=80/system",6D spatial morphology,feature,refit_subset,no_ks,EW/KPZ/BD/Eden/RD,1,400,3,0.348571,0,0.348571,0.348571,0.345689,0,0.345689,0.345689,0.8125,0,Full subset refit from stored exp62 feature vectors.
exp62,"stored feature matrix, L=128, T=1000, N=80/system",6D spatial morphology,feature,refit_subset,no_rd,EW/KPZ/BD/Eden/KS,1,400,3,-0.116418,0,-0.116418,-0.116418,0.348571,0,0.348571,0.348571,0.81,0,Full subset refit from stored exp62 feature vectors.
exp62,"stored feature matrix, L=128, T=1000, N=80/system",6D spatial morphology,feature,refit_subset,no_rd_no_ks,EW/KPZ/BD/Eden,1,320,2,-0.0686767,0,-0.0686767,-0.0686767,-0.0686767,0,-0.0686767,-0.0686767,0.775,0,Full subset refit from stored exp62 feature vectors.
exp70_sweep,equal,PCA-whitened multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.394937,0.138086,0.243671,0.495781,0.483013,0.0925284,0.318493,0.536391,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,PCA-whitened multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,1,0,1,1,1,0,1,1,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,PCA-whitened multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.335279,0.0153233,0.318493,0.34647,0.343322,0.162697,0.0535714,0.433718,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.215764,0.178977,0.0197044,0.34647,0.443889,0.0701468,0.318493,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,-0.0209957,0.0680701,-0.0707071,0.0535714,0.270698,0.12145,0.0535714,0.329114,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
