min_cluster_size,min_samples,hdbscan_clusters,hdbscan_noise,hdbscan_all_ari,hdbscan_all_nmi,hdbscan_non_noise_ari,hdbscan_non_noise_nmi,kmeans_ari,kmeans_nmi,knn3_accuracy,knn3_std
5,1,9,28,0.4215907519261107,0.6420678978442123,0.41191811519707744,0.6542868019747926,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
5,3,5,4,0.48273131674097963,0.7230435134873315,0.4833569223193919,0.7292822391252776,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
5,5,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
5,10,4,6,0.4873838152113557,0.7262986643092404,0.4910745466819492,0.7402748150847966,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
10,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
10,3,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
10,5,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
10,10,4,6,0.4873838152113557,0.7262986643092404,0.4910745466819492,0.7402748150847966,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
12,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
12,3,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
12,5,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
12,10,4,6,0.4873838152113557,0.7262986643092404,0.4910745466819492,0.7402748150847966,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
24,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
24,3,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
24,5,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
24,10,4,6,0.4873838152113557,0.7262986643092404,0.4910745466819492,0.7402748150847966,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
48,1,4,0,0.4979035639412998,0.7438478550696792,0.4979035639412998,0.7438478550696792,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
48,3,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
48,5,4,2,0.4943238763790265,0.7380606261155583,0.49476343280378143,0.7422902350998982,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
48,10,4,6,0.4873838152113557,0.7262986643092404,0.4910745466819492,0.7402748150847966,0.18491941765409903,0.49382350433464833,0.8375,0.02517301244498868
