L,T,seed_index,representation,n_samples,hdbscan_clusters,hdbscan_noise,hdbscan_all_ari,hdbscan_core_ari,hdbscan_core_nmi,kmeans_ari,knn3_accuracy,knn3_std,ew_kpz_dist,kpz_ks_dist
64,500,0,6d_spatial,150,5,6,0.411456888580675,0.43132925054765825,0.7081894296193098,0.1849581968862626,0.8200000000000001,0.026666666666666658,0.9006027345713351,2.1434619283011815
64,500,0,10d_spatial_temporal,150,4,8,0.4415286142484554,0.48072363849022154,0.7385820116025842,0.49061503566615167,0.9666666666666666,0.02108185106778919,1.8271497344347667,3.7126979299958736
64,500,1,6d_spatial,150,4,4,0.4730976193213232,0.47275353656106794,0.7331791993246133,0.1923018685079192,0.8133333333333332,0.039999999999999994,0.8639376222825816,2.063486683271315
64,500,1,10d_spatial_temporal,150,4,6,0.4585190662882465,0.4776198087077312,0.7357360779433946,0.4931972789115646,0.9800000000000001,0.016329931618554516,1.9424411739651652,3.8008751717988316
64,500,2,6d_spatial,150,4,3,0.4742970333972581,0.484633821744554,0.7399931510675177,0.17935524494055324,0.86,0.0573488351136175,0.9493696547893373,2.121569823849164
64,500,2,10d_spatial_temporal,150,4,4,0.46678025728827205,0.48635255479553097,0.7412967202669485,0.49167168372466385,0.96,0.02494438257849294,2.007841711659812,3.7622234040862312
96,750,0,6d_spatial,150,4,3,0.47405584342002194,0.493104176271128,0.7438426262671057,0.18213708320731317,0.8266666666666668,0.05734883511361753,0.8705070555866511,1.9655047824456693
96,750,0,10d_spatial_temporal,150,4,6,0.4543980492740762,0.4842869554895212,0.7399667002414836,0.4899285572534233,0.9733333333333334,0.024944382578492935,1.8510773291927964,3.719667881281049
96,750,1,6d_spatial,150,5,10,0.3988208137332854,0.46937156883178377,0.6998670880882908,0.17935524494055324,0.86,0.08537498983243799,0.8695544784655336,2.0033177298277556
96,750,1,10d_spatial_temporal,150,4,3,0.4724516541121537,0.49149024491490245,0.7438814493137582,0.4899285572534233,0.9733333333333334,0.038873012632301994,2.0342139073638985,3.7051075392885537
96,750,2,6d_spatial,150,4,3,0.4742970333972581,0.484633821744554,0.7399931510675177,0.18398934549326262,0.86,0.038873012632301994,0.9210007258611849,2.0119306941286386
96,750,2,10d_spatial_temporal,150,4,4,0.46799677433092784,0.47933878490131165,0.7374133099014206,0.49003241234994344,0.9866666666666667,0.02666666666666666,2.0200331746627858,3.6650275744295158
128,1000,0,6d_spatial,150,4,2,0.47976242820726717,0.4897490116760136,0.7425906828807503,0.18213708320731317,0.8866666666666667,0.01632993161855452,0.9115591076155839,1.9733294695642514
128,1000,0,10d_spatial_temporal,150,4,4,0.467754788008683,0.4879026485325698,0.7413092871307033,0.49167168372466385,0.9866666666666667,0.01632993161855452,1.9945552664313029,3.6726321146981
