seed_index,representation,hdbscan_clusters,hdbscan_all_ari,hdbscan_core_ari,kmeans_ari,knn3_accuracy,ew_kpz_dist
0,6d_spatial,4,0.4851044545013942,0.4859100921922167,0.18202933676689642,0.85,1.0338527631720908
0,8d_spatial_height,4,0.4943502824858757,0.4943502824858757,0.4943502824858757,0.8222222222222223,1.3452243839041012
0,2d_height_only,3,0.206620327232612,0.231126843487984,0.21999980192986338,0.6277777777777778,0.8606840925284964
0,10d_spatial_temporal,4,0.48956846092858025,0.4971990803397479,0.4943502824858757,0.9666666666666666,2.1220087068994085
0,12d_all,4,0.48956846092858025,0.4971990803397479,0.4943502824858757,0.9722222222222223,2.2899122383376396
1,6d_spatial,4,0.47839471055991706,0.49428612936666033,0.1812265408920616,0.7944444444444445,1.0693001712734362
1,8d_spatial_height,4,0.47839471055991706,0.49428612936666033,0.4943502824858757,0.8555555555555555,1.2426261666188088
1,2d_height_only,2,0.3201302224633749,0.3201302224633749,0.25669897318764534,0.5944444444444444,0.6330220641339095
1,10d_spatial_temporal,4,0.4796167263857506,0.488694129333038,0.4930591020938762,0.9666666666666666,2.0541147851012376
1,12d_all,4,0.4732087054895849,0.4899803536345776,0.4943502824858757,0.9444444444444444,2.1494428310731735
2,6d_spatial,4,0.47534492495732805,0.4917251118295802,0.18459597729343333,0.7888888888888889,0.9802897847369874
2,8d_spatial_height,4,0.4736589375290228,0.49003071570016726,0.4943502824858757,0.8722222222222221,1.2654115985192032
2,2d_height_only,2,0.31323748447361227,0.3195104390465891,0.23913973726873267,0.6333333333333333,0.8001865105131653
2,10d_spatial_temporal,4,0.4732087054895849,0.4899803536345776,0.4930591020938762,0.9777777777777779,2.0487369467309158
2,12d_all,4,0.4620760348086645,0.48700837780215,0.4930591020938762,0.9722222222222221,2.1994593718701765
3,6d_spatial,4,0.47534492495732805,0.4917251118295802,0.1807446984641892,0.8222222222222223,1.0158971275890436
3,8d_spatial_height,4,0.47534492495732805,0.4917251118295802,0.4943502824858757,0.788888888888889,1.2572134526980498
3,2d_height_only,2,0.3201302224633749,0.3201302224633749,0.2505952616512987,0.6,0.7406339796426318
3,10d_spatial_temporal,6,0.43560608812524976,0.5522961105795855,0.49209199857337194,0.9666666666666666,2.094056996739735
3,12d_all,4,0.48006478972881117,0.4887433303672389,0.4943502824858757,0.95,2.2211738782445467
4,6d_spatial,5,0.4175192501211882,0.4555802866726637,0.1812265408920616,0.8388888888888889,1.0360424865007711
4,8d_spatial_height,4,0.4682248079721112,0.505859648592204,0.4943502824858757,0.8333333333333334,1.2865081451046374
4,2d_height_only,2,0.3201302224633749,0.3201302224633749,0.22468844857242257,0.6277777777777779,0.7627051681914014
4,10d_spatial_temporal,5,0.42792486067459845,0.5224069513008162,0.49209199857337194,0.9722222222222223,1.998386326411564
4,12d_all,4,0.46285000823619005,0.5124457725998437,0.4943502824858757,0.9722222222222223,2.1389873966843704
