system,L,r,Gr
ew,128,1,1.117474e+00
ew,128,2,2.100136e+00
ew,128,3,3.076328e+00
ew,128,4,4.051597e+00
ew,128,5,5.027444e+00
ew,128,6,5.993939e+00
ew,128,7,6.945413e+00
ew,128,8,7.893309e+00
ew,128,9,8.837114e+00
ew,128,10,9.762164e+00
ew,128,11,1.067185e+01
ew,128,12,1.156327e+01
ew,128,13,1.244537e+01
ew,128,14,1.332245e+01
ew,128,15,1.418383e+01
ew,128,16,1.503524e+01
ew,128,17,1.586485e+01
ew,128,18,1.666962e+01
ew,128,19,1.745587e+01
ew,128,20,1.822648e+01
ew,128,21,1.897009e+01
ew,128,22,1.971837e+01
ew,128,23,2.042900e+01
ew,128,24,2.113996e+01
ew,128,25,2.183712e+01
ew,128,26,2.252545e+01
ew,128,27,2.320280e+01
ew,128,28,2.385812e+01
ew,128,29,2.448724e+01
ew,128,30,2.510465e+01
ew,128,31,2.569502e+01
ew,128,32,2.627380e+01
ew,128,33,2.684084e+01
ew,128,34,2.739558e+01
ew,128,35,2.793780e+01
ew,128,36,2.846605e+01
ew,128,37,2.898324e+01
ew,128,38,2.949605e+01
ew,128,39,2.999177e+01
ew,128,40,3.046788e+01
ew,128,41,3.092376e+01
ew,128,42,3.135715e+01
ew,128,43,3.176762e+01
ew,128,44,3.216603e+01
ew,128,45,3.253630e+01
ew,128,46,3.288894e+01
ew,128,47,3.320933e+01
ew,128,48,3.350950e+01
ew,128,49,3.379268e+01
ew,128,50,3.407563e+01
ew,128,51,3.434136e+01
ew,128,52,3.457981e+01
ew,128,53,3.481120e+01
ew,128,54,3.503123e+01
ew,128,55,3.523379e+01
ew,128,56,3.541410e+01
ew,128,57,3.557006e+01
ew,128,58,3.572337e+01
ew,128,59,3.585618e+01
ew,128,60,3.595703e+01
ew,128,61,3.603880e+01
ew,128,62,3.610463e+01
ew,128,63,3.614561e+01
ew,128,64,3.615829e+01
kpz,128,1,9.968643e-01
kpz,128,2,1.962032e+00
kpz,128,3,2.903287e+00
kpz,128,4,3.821861e+00
kpz,128,5,4.724437e+00
kpz,128,6,5.609186e+00
kpz,128,7,6.473082e+00
kpz,128,8,7.318448e+00
kpz,128,9,8.144926e+00
kpz,128,10,8.942981e+00
kpz,128,11,9.722216e+00
kpz,128,12,1.047622e+01
kpz,128,13,1.120439e+01
kpz,128,14,1.190495e+01
kpz,128,15,1.258102e+01
kpz,128,16,1.323684e+01
kpz,128,17,1.386120e+01
kpz,128,18,1.445705e+01
kpz,128,19,1.503563e+01
kpz,128,20,1.559428e+01
kpz,128,21,1.613261e+01
kpz,128,22,1.664943e+01
kpz,128,23,1.714668e+01
kpz,128,24,1.762101e+01
kpz,128,25,1.807627e+01
kpz,128,26,1.851307e+01
kpz,128,27,1.892221e+01
kpz,128,28,1.930391e+01
kpz,128,29,1.967072e+01
kpz,128,30,2.002236e+01
kpz,128,31,2.036407e+01
kpz,128,32,2.068826e+01
kpz,128,33,2.099680e+01
kpz,128,34,2.129982e+01
kpz,128,35,2.159224e+01
kpz,128,36,2.187692e+01
kpz,128,37,2.214216e+01
kpz,128,38,2.239141e+01
kpz,128,39,2.262422e+01
kpz,128,40,2.284480e+01
kpz,128,41,2.305596e+01
kpz,128,42,2.325381e+01
kpz,128,43,2.345076e+01
kpz,128,44,2.364128e+01
kpz,128,45,2.382765e+01
kpz,128,46,2.399944e+01
kpz,128,47,2.415659e+01
kpz,128,48,2.430470e+01
kpz,128,49,2.444120e+01
kpz,128,50,2.457058e+01
kpz,128,51,2.468411e+01
kpz,128,52,2.477799e+01
kpz,128,53,2.487222e+01
kpz,128,54,2.495591e+01
