system,L,T,n_ok,W_sat,W_sat_std,alpha_local,alpha_local_r2,intrinsic_width,late_beta
ew,32,5430,10,1.580378,0.108093,0.429485,0.999997,1.403870,0.187098
ew,64,15360,10,2.263552,0.250748,0.457277,0.999951,1.435453,0.021413
ew,128,43444,10,3.261313,0.609338,0.475045,0.999936,1.449185,0.144772
kpz,32,5430,10,1.578332,0.230342,0.443869,0.999925,1.372502,0.081086
kpz,64,15360,10,2.261233,0.357536,0.469964,0.999901,1.389225,0.062718
kpz,128,43444,10,2.912717,0.350135,0.459204,0.999269,1.400726,-0.177700
bd,32,5430,10,5.745579,0.210867,0.216205,0.999382,6.719276,-0.009814
bd,64,15360,10,7.308476,0.192086,0.229031,0.999970,7.009196,0.002350
bd,128,43444,10,9.406619,0.331627,0.254735,0.999204,7.068131,-0.017443
eden,32,5430,10,2.574562,0.270964,0.458962,0.999915,2.221609,-0.194799
eden,64,15360,10,3.572293,0.334842,0.464877,0.999470,2.309813,-0.246562
eden,128,43444,10,5.243700,0.873128,0.475661,0.999409,2.316428,-0.080573
rd,32,5430,10,43.475937,5.966861,-0.010249,0.030130,63.708482,0.571296
rd,64,15360,10,69.030245,5.290982,-0.020902,0.374393,101.962446,0.505237
rd,128,43444,10,118.967025,6.003134,-0.001237,0.004806,171.877043,0.512111
ks,32,3000,10,4.163403,0.000156,0.964637,0.999949,1.685633,0.000002
ks,64,3000,10,4.163532,0.000127,0.978324,0.999928,0.848159,0.000022
ks,128,3000,10,4.163467,0.000098,0.984666,0.999936,0.424741,-0.000018
