system,L,W_sat
ew,32,1.616479
ew,48,1.902294
ew,64,2.204253
ew,96,2.467067
ew,128,3.360548
ew,192,3.624889
ew,256,4.746971
kpz,32,1.808437
kpz,48,2.093142
kpz,64,2.208355
kpz,96,2.665151
kpz,128,3.264156
kpz,192,3.384778
kpz,256,4.435018
bd,32,5.840322
bd,48,6.736673
bd,64,7.328305
bd,96,8.388581
bd,128,9.368337
bd,192,11.072163
bd,256,12.363747
eden,32,2.465642
eden,48,3.038958
eden,64,3.551397
eden,96,4.744241
eden,128,4.691005
eden,192,5.850371
eden,256,7.370491
rd,32,41.471744
rd,48,58.119728
rd,64,72.920564
rd,96,92.827405
rd,128,120.804245
rd,192,165.721827
rd,256,203.693075
