system,L,seed,W_sat
ew,32,0,1.450672
ew,32,1,1.554938
ew,32,2,1.681826
ew,32,3,1.906329
ew,32,4,1.730648
ew,32,5,1.374459
ew,32,6,1.533229
ew,32,7,1.284257
ew,32,8,1.630632
ew,32,9,2.014547
ew,32,10,1.439322
ew,32,11,1.771669
ew,32,12,1.308475
ew,32,13,1.858624
ew,32,14,1.553521
ew,32,15,1.380114
ew,32,16,1.527499
ew,32,17,1.639226
ew,32,18,1.463879
ew,32,19,1.913271
ew,32,20,1.216486
ew,32,21,1.608624
ew,32,22,1.394104
ew,32,23,1.523089
ew,48,0,2.158588
ew,48,1,2.087674
ew,48,2,1.935422
ew,48,3,1.789977
ew,48,4,1.645099
ew,48,5,1.797002
ew,48,6,2.005146
ew,48,7,1.847661
ew,48,8,1.967568
ew,48,9,1.638600
ew,48,10,1.708522
ew,48,11,2.377929
ew,48,12,2.398739
ew,48,13,1.820923
ew,48,14,1.772639
ew,48,15,2.020012
ew,48,16,2.382510
ew,48,17,1.590407
ew,48,18,2.122840
ew,48,19,1.822861
ew,48,20,1.996673
ew,48,21,1.959440
ew,48,22,1.923475
ew,48,23,1.860861
ew,64,0,2.335727
ew,64,1,2.205859
ew,64,2,2.334589
ew,64,3,2.570995
ew,64,4,1.891646
ew,64,5,1.886703
ew,64,6,2.205751
ew,64,7,2.547942
ew,64,8,1.732564
ew,64,9,2.414655
ew,64,10,2.434272
ew,64,11,2.370295
ew,64,12,2.508361
ew,64,13,3.250394
ew,64,14,1.996061
ew,64,15,3.003639
ew,64,16,2.183379
ew,64,17,2.026666
ew,64,18,1.853067
ew,64,19,2.065302
ew,64,20,1.932279
ew,64,21,2.187530
ew,64,22,2.307728
ew,64,23,1.868303
ew,96,0,2.949056
ew,96,1,2.150550
ew,96,2,2.384403
ew,96,3,2.341380
ew,96,4,2.492758
ew,96,5,2.484253
ew,96,6,2.335890
ew,96,7,3.356478
ew,96,8,2.498097
ew,96,9,2.337838
ew,96,10,3.020553
ew,96,11,2.588895
ew,96,12,2.614829
ew,96,13,2.671336
ew,96,14,2.246028
ew,96,15,2.864115
ew,96,16,2.479549
ew,96,17,2.699960
ew,96,18,2.564319
ew,96,19,2.948077
ew,96,20,2.628592
ew,96,21,2.261734
ew,96,22,2.555975
ew,96,23,2.642781
ew,128,0,4.293266
ew,128,1,4.416862
ew,128,2,2.977306
ew,128,3,3.267159
ew,128,4,2.805075
ew,128,5,2.403618
ew,128,6,3.574543
ew,128,7,5.399569
ew,128,8,2.935298
ew,128,9,2.883656
ew,128,10,2.316172
ew,128,11,2.989289
ew,128,12,3.626743
ew,128,13,2.466021
ew,128,14,3.478829
ew,128,15,2.725806
ew,128,16,3.129002
ew,128,17,2.905378
ew,128,18,3.594871
ew,128,19,3.107241
ew,128,20,2.364211
ew,128,21,3.028456
ew,128,22,2.820479
ew,128,23,2.874535
ew,192,0,3.827817
ew,192,1,4.117064
ew,192,2,3.504557
ew,192,3,3.713979
ew,192,4,3.819607
ew,192,5,2.766312
ew,192,6,3.223091
ew,192,7,3.016279
ew,192,8,3.305274
ew,192,9,3.822706
ew,192,10,4.213704
ew,192,11,2.919820
ew,192,12,4.131148
ew,192,13,3.463723
ew,192,14,3.819883
ew,192,15,3.371179
ew,192,16,4.893638
ew,192,17,4.642600
ew,192,18,3.525024
ew,192,19,3.257570
ew,192,20,3.498028
ew,192,21,2.875932
ew,192,22,5.327081
ew,192,23,3.414107
ew,256,0,5.040847
ew,256,1,3.871944
ew,256,2,4.915837
ew,256,3,5.754407
ew,256,4,4.261505
ew,256,5,4.637285
ew,256,6,3.759358
ew,256,7,4.109586
ew,256,8,3.548393
